TIME, Uin, Fin, Uout
5.E-02, 1.5E-04, 3.57654821, 8.23002829E-06
0.1, 3.E-04, 7.04961635, 3.857383883E-05
0.15, 4.5E-04, 10.1614302, 1.218653595E-04
0.2, 6.E-04, 11.9886552, 3.76379216E-04
0.25, 7.5E-04, 12.265408, 8.167586674E-04
0.3, 9.E-04, 12.3611367, 1.249646589E-03
0.35, 1.05E-03, 12.3646844, 1.666573767E-03
0.4, 1.2E-03, 12.4897092, 2.04761819E-03
0.45, 1.35E-03, 12.6491113, 2.407576063E-03
0.5, 1.5E-03, 12.8267206, 2.751406844E-03
0.55, 1.65E-03, 13.0188595, 3.081579024E-03
0.6, 1.8E-03, 13.221324, 3.400156913E-03
0.65, 1.95E-03, 13.4311667, 3.70870422E-03
0.7, 2.1E-03, 13.6463627, 4.008423436E-03
0.75, 2.25E-03, 13.7682236, 4.310075781E-03
0.8, 2.4E-03, 14.0875673, 4.584976971E-03
0.85, 2.55E-03, 14.296797, 4.863824775E-03
0.9, 2.7E-03, 14.4741323, 5.141772796E-03
0.95, 2.85E-03, 14.6676332, 5.413608235E-03
1, 3.E-03, 14.8927074, 5.676737665E-03
1.05, 2.7E-03, 14.537848, 5.135408848E-03
1.1, 2.4E-03, 14.0874655, 4.584976608E-03
1.15, 2.1E-03, 13.6461114, 4.008437962E-03
1.2, 1.8E-03, 13.2207409, 3.400211077E-03
1.25, 1.5E-03, 12.824793, 2.75164396E-03
1.3, 1.2E-03, 12.4838418, 2.048361247E-03
1.35, 9.E-04, 12.2498991, 1.263389123E-03
1.3725, 7.65E-04, 12.232565, 8.668595477E-04
1.395, 6.3E-04, 12.1085653, 4.582182212E-04
1.4101875, 5.38875E-04, 11.4885251, 2.409009986E-04
1.425375, 4.4775E-04, 10.0981712, 1.22464048E-04
1.44815625, 3.110625E-04, 7.28021421, 4.363728232E-05
1.48232812, 1.0603125E-04, 2.52675088, 4.216833288E-06
1.53232813, -1.9396875E-04, -4.61872817, 1.453356503E-05
1.58232813, -4.9396875E-04, -10.6854618, 2.058332254E-04
1.59982813, -5.9896875E-04, -11.0031813, 5.013311775E-04
1.61732813, -7.0396875E-04, -10.5789912, 8.587061761E-04
1.64357813, -8.6146875E-04, -9.94101307, 1.33757908E-03
1.68295313, -1.09771875E-03, -9.61174299, 1.906973236E-03
1.72232813, -1.33396875E-03, -9.38238146, 2.405742008E-03
1.77232813, -1.63396875E-03, -9.28415567, 2.961623661E-03
1.82232813, -1.93396875E-03, -9.27256463, 3.461773946E-03
1.87232813, -2.23396875E-03, -9.30311111, 3.922041432E-03
1.92232813, -2.53396875E-03, -9.3643855, 4.350586E-03
1.97232813, -2.83396875E-03, -9.44709994, 4.753129014E-03
2, -3.E-03, -9.43574318, 4.969799065E-03
